Name,Website,Email,Phone,Industries,Goods,"City, Country",Address,Description
Lear,www.lear.com,,,Auto & Truck Parts,,"Southfield, Michigan,United States",,"Lear designs, manufactures and supplies automotive seat, electrical distribution systems and electronic modules, as well as related sub-systems, components and software, to virtually every major automotive manufacturer in the world. The company operates its business through two segments: Seating and Electrical. The Seating segment consists of the design, engineering, just-in-time assembly and delivery of complete seat systems, as well as the manufacture of all major seat components, including seat covers and surface materials such as leather and fabric, seat structures and mechanisms, seat foam and headrests. The Electrical segment consists of the design, development, engineering and manufacture of complete electrical distribution systems that route electrical signals and manage electrical power within a vehicle and also sophisticated electronic control modules that facilitate signal, data and power management within the vehicle. Lear was founded in 1917 and is headquartered in Southfield, MI."
Ledo,www.ledo.hr/v4/index.html,,,Foods,"Ice cream, frozen food","Zagreb, Croatia",,
Lee Enterprises,www.lee.net,,,Media,Newspapers and television station,"Davenport, Iowa United States",,
Legal & General Group,www.legalandgeneral.com,,,Life & Health Insurance,,"London,United Kingdom",,"Legal & General Group Plc provides risk, savings and investment management products and services. It operates through five reporting segments: Legal & General Assurance Society (LGAS), Legal & General Retirement (LGR), Legal & General Investment Management (LGIM), Legal & General America (LGA), and Legal & General Capital (LGC). Legal & General Group was founded on September 19, 1836 and is headquartered in London, the United Kingdom."
Legend Holding,www.legendholdings.com.cn,,,Computer Hardware,,"Beijing, China",,"Legend Holding operates through two principal business platforms, strategic investments and financial investments. The strategic investments consist of operations in information technology industry, which is primarily engages in the development, manufacturing and marketing for personal technology products and services and other non-PC home appliances and other non-PC services; financial services industry, which offers services including short-term financing, credit guarantees, entrusted loans, finance lease, banking, insurance brokerage services, payment and Internet finance and trusts, customized financial solutions to customer; modern services industry, which operates in modern services including dental care, logistics, senior care and car rental business; agriculture and food industry, which is mainly engaged in planting and sales of premium fruit and tea products in agriculture business, and producing and selling various brands of liquors in Chinese liquor business; property industry, which is engaged in the business of the development and sale of residential properties and office buildings, office rental services and property management services to projects that the Group developed; and chemicals and energy materials industry, which includes chemicals and energy materials and lithium-ion battery businesses.The financial investments platform conducts management of private equity and venture capital funds as well as advisory services. The company was founded on February 18, 2014 and is headquartered in Beijing, China."
Legg Mason,www.leggmason.com,,,Asset Management & Custody Banks,Asset Management,"Baltimore, Maryland",,
Leggett & Platt,www.leggett.com,,," Residential Bedding and Furniture
Automotive Seating
Industrial Materials",,"Carthage, Missouri",,
Lego Group,www.lego.com,,,Toys,Lego,"Billund, Denmark",,
Legrand,www.legrand.com,,,Electrical Equipment,,"Limoges,France",,"Legrand SA is a holding company that engages in the manufacture of electrical and digital building infrastructures. Its services include the provision of control and command of electric power, cable management, power distribution, and voice-data-image distribution. The company operates through the following segments: User Interface, Energy Distribution, Building Systems, Cable Management, Digital Infrastructure, Uninterruptible Po er Supply and Installation Components. The company was founded in 1926 and is headquartered in Limoges, France."
Leica Camera,www.leica-camera.com,,,"ca Camera AG
Leica Camera.svg
Type
Aktiengesellschaft
Industry Photography, Digital Imaging, Still cameras, SLR cameras, DSLR cameras, binoculars / monoculars, binocular telescope, laser rangefinder","cameras, photographic lenses, binoculars and other optical equipment.","Wetzlar, Germany",,
Leica Geosystems,www.leica-geosystems.com,,,"Surveying & Engineering
Geographic Information Systems (GIS)
High Precision Measurement instruments",,"Heerbrugg, Canton St. Gallen, Switzerland",,
Leica Microsystems,www.leica-microsystems.com,,,Optical microscope Surgical microscopes OCT,"microscopes, macroscopes, histology- systems and other optical equipment, optical coherence tomography, surgical microscopes","Wetzlar, Germany",,
Leidenheimer Baking Company,www.leidenheimer.com,,,,,,,
LeJeune's Bakery,www.lejeunesbakery.com,,,,,,,
Lemminkäinen Group,www.lemminkainen.com,,,Construction," 
Paving
Infrastructure construction
Building construction","Helsinki, Finland",,
LeMond Racing Cycles,www.greglemond.com,,,,,,,
Lend Lease Group,www.lendlease.com.au,,,Real Estate,,"Sydney,Australia",,"Lendlease Group is a property and infrastructure development company. It engages in designing, developing, constructing, funding, owning, co-investing or managing property and infrastructure assets. The company operates its business through four segments: Development, Construction, Investment Management, and Infrastructure Development. The Development segment involves in the development of urban communities, inner-city mixed-use developments, apartments, retail, commercial and healthcare assets. The Construction segment provides project management, engineering and construction services. The Investment Management segment involves in the property and infrastructure investment management, property management and asset management. The Infrastructure Development segment manages and invests in public private partnerships projects. Lendlease Group was founded by Gerardus Jozef Dusseldorp in 1951 and is headquartered in Sydney, Australia."
Lender's Bagels,www.lendersbagels.com,,,,Bagels,,,
Lennar,www.lennar.com,,,Construction Services,,"Miami, Florida,United States",,"Lennar provides real estate related financial services, a commercial real estate investment, investment management and finance company through its Rialto segment and a developer of multifamily rental properties in select U.S. markets primarily through unconsolidated entities. The company grouped its homebuilding activities into five reportable segments: Homebuilding East, Homebuilding Central, Homebuilding West, Homebuilding Southeast Florida and Homebuilding Houston. Its other reportable segments are Lennar Financial Services, Rialto and Lennar Multifamily. The Lennar Financial Services segment provides mortgage financing, title insurance and closing services. The Lennar Financial Services sells substantially all of the loans it originates within a short period in the secondary mortgage market, the majority of which are sold on a servicing released, non-recourse basis. The Rialto segment is a commercial real estate investment, investment management, and finance company focused on raising, investing and managing third party capital, originating and securitizing commercial mortgage loans, as well as investing its own capital in real estate related mortgage loans, properties and related securities. The company was founded by Gene Fisher and Arnold Paul Rosen in 1954 and is headquartered in Miami, FL."
Lenovo,www.lenovo.com,,," Computer hardware
Electronics"," Smartphones, desktops, servers, notebooks, tablet computers, netbooks, peripherals, printers, televisions, scanners, storage devices","Haidian District, Beijing, China
Morrisville, North Carolina, United States",,"Lenovo Group is an investment holding company, which engages in the developing, manufacturing and marketing technology products and services. The company products include laptops, tablets, desktops and all-in-ones, workstations, servers, accessories and software. It operates its business through four geographical segments: China, Asia Pacific, Europe-Middle East-Africa and Americas. Lenovo Group was founded in 1984 and is headquartered in Hong Kong."
Lenzing AG,www.lenzing.com,,,Chemicals,"Textile fibers, nonwoven fabrics, pulp, thermoplastics, PTFE, acrylic fibers","Lenzing, Austria",,
LEO Express,www.le.cz,,,open-access train operator,Open-access operator,"Prague, Czech Republic",,
Leo Pharma,www.leo-pharma.com,,,Pharmaceutical industry,"Prescription drugs for dermatology, bone remodeling thrombosis and coagulation","Copenhagen, Denmark",,
Leonardo-Finmeccanica,www.leonardocompany.com,,,"Aerospace, defence","Aeronautics, helicopters, space, electronics, defence systems","Rome, Italy",,
Leonard's Bakery,www.leonardshawaii.com,,,Bakery,,Hawaii,,
Leoni AG,www.leoni.com,,,"Manufacturing, engineering","Power, instrumentation and telecommunications cables, cable harnesses","Nuremberg, Germany",,
Leptos Estates,www.leptosestates.com,,,Property development,,Cyprus,,
Leshi Internet Information & Technology Beijing,www.letv.com,,,,,China,,"Leshi Internet Information & Technology Beijing provides online video broadcasting services. It offers video programming services through the Internet, televisions, mobile phones, and other mobile end users. The company was founded in 2004 and is headquartered in Beijing, China."
Leucadia National,www.leucadia.com,,,Conglomerates,,"New York, New York,United States",,"Leucadia National is a diversified holding company. It engages in a variety of businesses, including investment banking and capital markets, beef processing, manufacturing, oil and gas exploration and production and asset management. The company was founded in 1968 and is headquartered in New York, NY."
Levain Bakery,www.levainbakery.com,,,,,,,
Level 3 Communications,www.level3.com,,,Telecommunications services,,"Broomfield, Colorado,United States",,"Level 3 Communications, provides integrated communications services, non-switched and local-access telecommunications services. It provides IP-based communications services to enterprise, content, government and wholesale customers. The company products include Content distribution & performance, Data networks, Managed & professional services, Security, Voice UC&C and Cloud security. It operates through four reportable segments: North America, Europe, the Middle East and Africa, Latin America and TW telecom. Level 3 Communications was founded in 1985 and is headquartered in Broomfield, CO."
Levi Strauss & Co.,www.levistrauss.com,,,Clothing,Jeans,"San Francisco,  United States",,
Lexmark,www.lexmark.com,,,"Business process management
Document management system
Enterprise Content Management
Managed Print Services
Enterprise output management
Printers","Business process management
Document management system
Enterprise Content Management
Managed Print Services
Enterprise output management
Printers
Toner","Lexington, Kentucky, U.S",,
LG Chem,www.lgchem.com,,,Specialized Chemicals,,"Seoul,South Korea",,"LG Chem manufactures petrochemicals, IT & electronic materials and energy solution materials. Its operations are carried out through the following segments: Petrochemicals, IT & Electronic Materials, and Batteries. The Petrochemical division offers naphtha cracking centers and polyolefins, synthetic rubbers and specialty polymers, polyvinyl chloride, acrylonitrile-butadiene-styrene and engineering plastics, and acrylates, and plasticizers.The IT & Electronic Material division offers optical and display materials namely polarizers, phosphors, organic light emitting diode, photosensitive materials for liquid crystal display; printed circuit materials such as flexible materials, halogen free materials, integrated circuit packaging materials, epoxy resin system materials, high speed materials, and build-up materials; toners such as color toners, black laser printer toners, and black copier toners. The Battery division provides lithium-ion cylindrical batteries, lithium-ion polymer batteries, lithium-ion prismatic batteries, and medium, and large batteries. The company was founded on April 1, 2001 and is headquartered in Seoul, South Korea."
LG Corp,www.lg.co.kr,,,Household Appliances,,"Seoul,South Korea",,"LG as a holding company engages in the management of subsidiary companies. It operates through its subsidiaries which include: LG Electronics, LG Chem, LG Uplus, LG CNS, SERVEONE, LG Siltron, LUSEM, LG Solar Energy and LG Sports. The company was founded on January 5, 1947 and is headquartered in Seoul, South Korea."
LG Display,www.lgdisplay.com,,,Electronics,,"Seoul,South Korea",,"LG Display Co., is engaged in the development, production, and sale of thin film transistor (TFT) liquid crystal display (LCD) panels. It operates through the following business divisions: TFT-LCD, Flexible Display, and Organic Light-Emitting Diode (OLED). The TFT-LCD division provides LCDs for television, mobile, light emitting diode (LED) and three LCDs. The Flexible Display division provides electronic paper display (EPD), plastic EPD, and flexible touch electronic paper. The OLED division offers active-matrix OLEDs (AMOLED) for television. The company was founded in February 28, 1985 and is headquartered in Seoul, South Korea."
LG Electronics,www.lge.com,,,Consumer Electronics,,"Seoul,South Korea",,"LG Electronics, engages in the manufacturing of display devices, home appliances, multimedia goods, electronic parts and develops software. It operates through the following business areas: Home Entertainment, Mobile Communications, Home Appliance, Air-Conditioning, Energy Solution and Independent business area. The Home Entertainment business area provides products such as televisions, monitors, personal computers for IT, Car Infotainment and produces Chemical and Electronic Materials. The Mobile Communications business area offers products such as handsets and tablets. The Home Appliance business area provides products such as refrigerators, washing machines, cooking and cleaning and health care appliances. The Air Conditioning and Energy Solution business area manufactures products such as Light Emitting Diode (LED) lightings, residential and system air conditioners. The Independent business area provides products such as compressors, storage devices, PC, telematics and solar cells. It was founded by In-Hwoi Koo on October 1, 1958 and is headquartered in Seoul, South Korea."
LG Household & Health Care,www.lgcare.com,,,Household/Personal Care,,South Korea,,"LG Household & Health Care engages in the production and sale of household goods and cosmetic products. It operates through Beauty, Health, and Refreshment business divisions. Its Beauty business division provides anti-aging cosmetic products. Its Health division markets healthcare, skincare, and household products. The Refreshment division provides soda, juice, energy drinks, and other beverages. The company was founded on April 3, 2001 and is headquartered in Seoul, South Korea."
LG International,www.lgicorp.com,,,Trading Companies,,"Seoul,South Korea",,"LG International engages in the development of energy, raw materials and trading industrial materials. It operates through the following business divisions: Resource Development, Green, Project, Trading Electronics, Trading Chemical Products, Trading Steel, Trading Machinery and Aviation. The Resource Development division provides development of energy resource such as coal, crude and nonferrous metals. The Green business division offers business such as industrial reforestation and oil palm plantation. The Project business division provides business such as plant, clean development and electric power-smart grid. The Trading Electronics business division offers trading electronic equipment and Vendor Managed Inventory system for clients. The Trading Chemical Products division provides trading chemical products such as polymers and petrochemicals. The Trading Steel division offers both hot-rolled and cold-rolled steel businesses for trading. The Trading Machinery and Aviation business manages trading machinery and aviation such as helicopter, defense contractors, elevators, heating, ventilation and air conditioning. It was founded on November 26, 1953 and is headquartered in Seoul, South Korea."
LG Uplus,www.uplus.co.kr,,,Telecommunications services,,"Seoul,South Korea",,"LG Uplus engages in the provision of telecommunication services. Its services include of personal mobile services, business solution services, and global roaming phone rentals. The personal mobile services include mobile services, international phone, broadband internet, internet protocol television (IPTV), bundle, media distribution service, and cloud. The business solution services include leased line, e-Biz and internet data center (IDC) business.The company was founded on July 11, 1996 and is headquartered in Seoul, South Korea."
LGB,www.lgb.com,,,,model railroad products,Germany,,
LGT Group,www.lgt.com,,,Financial Services,"Private Banking, Asset management, Hedge fundand Private equity","Vaduz, Liechtenstein",,
LHV Pank,www.lhv.ee,,,"Banking, Financial services","Retail, commercial and private banking","Tallinn, Estonia",,
Li & Fung,www.lifung.com,,,Trading Companies,,"Hong Kong, China",,"Li & Fung is an investment holding company, which engages in the trading, logistics and distribution of consumer products. The company operates its business through the following segments: Trading Network and Logistics Network. The Trading Network segment focuses on the global sourcing business. The Logistics Network segment operates both the group's international and domestic logistics services networks globally. The company was founded in 1991 and is headquartered in Hong Kong."
Liaoning Chengda,www.chengda.com.cn/ensite/indexen.asp,,,Conglomerate,,"Dalian, Liaoning, People's Republic of China",,
Libeco-Lagae,www.libeco.be,,,textile,linen and linen products,,,
Liberbank,www.liberbank.es,,,Financial Services,,"Madrid,Spain",,"Liberbank SA engages in the provision of financial and banking business. It operates through the banking and corporate business segments. It offers a range of solutions including accounts and cards, mortgages and loans, as well as investments and savings, and insurance. It offers its services among corporate and individuals. The company was founded on May 23, 2011 and is headquartered in Madrid, Spain."
Liberty,www.libertylondon.com,,,Retail,Quality and luxury goods," London, W1
United Kingdom",,
Liberty Bank,www.liberty-bank.com,,,mutual savings bank,,"Middletown, Connecticut",,
Liberty Global,www.libertyglobal.com,,44 20 8483 6300,"Telecommunications
Media","Broadband internet, cable television, telephony, mobile, direct-broadcast satellite","London, Denver, Amsterdam","161 Hammersmith Road
London W6 8BS 
United Kingdom","Liberty Global plc (“Liberty Global”, “Liberty”) is the world’s largest international TV and broadband company with operations in more than 30 countries across Europe, Latin America and the Caribbean. We invest in the infrastructure that empowers our customers to make the most of the digital revolution. Our scale and commitment to innovation enables us to develop market-leading products delivered through next-generation networks that connect our 29 million customers who subscribe to over 59 million television, broadband internet and telephony services. We also serve 11 million mobile subscribers and offer WiFi service across seven million access points.
On May 16, 2016, Liberty Global completed the acquisition of Cable & Wireless Communications Plc (“CWC”) to form the leading television, broadband and telecoms firm in Latin America and the Caribbean. CWC joined the LiLAC Group, which already comprises Liberty Global’s marquis operations in Chile and Puerto Rico, creating a consumer and business-to-business communications powerhouse in the region.
Liberty Global operates in 12 European countries under the consumer brands Virgin Media, Ziggo, Unitymedia, Telenet and UPC, and in over 20 countries in Latin America and the Caribbean under the consumer brands VTR, Flow, Liberty, Mas Movil and BTC. The LiLAC Group also operates a submarine fiber network throughout the region in over 30 markets."
Liberty Interactive,www.libertyinteractive.com,,,Internet & Catalog Retail,,"Englewood, Colorado,United States",,"Liberty Interactive owns interests in subsidiaries and other companies which are primarily engaged in the video and on-line commerce industries. The company's principal businesses and assets include its significant consolidated subsidiaries: QVC, (QVC), Backcountry.com, (Backcountry), Bodybuilding.com, LLC (Bodybuilding), CommerceHub and Evite, (Evite) and its equity affiliates Expedia, (Expedia), HSN, (HSN), FTD Companies, (FTD), Interval Leisure Group, (Interval Leisure Group) and LendingTree, (LendingTree). QVC markets and sells a wide variety of consumer products primarily through live televised shopping programs distributed to worldwide households. Backcountry operates as an e-retailer for outdoor adventure, cycling, action sports and motorcycle gear and clothing. Bodybuilding is an Internet retailer of sports, fitness, and nutritional supplements. It also hosts an online health-and-fitness publication, offering free fitness content, workout programs, video trainers, recipes and health advice. CommerceHub provides a Software-as-a-Service platform for online retailers and their suppliers (manufacturers, and distributors). The retailers use the company's software to sell products to consumers without physically owning inventory, or managing the fulfillment of those products. Evite provides an online invitation and social event planning service on the web. HSN is an interactive multi-channel retailer with strong direct-to-consumer expertise among its two operating segments, HSN and Cornerstone Brands. HSN offers innovative, differentiated retail experiences on TV, online, mobile, in catalogs, and in bricks-and-mortar stores. Cornerstone Brands comprises home and apparel lifestyle brands, including Ballard Design, Frontgate, Garnet Hill, Grandin Road, Improvements, Chasing Fireflies and Travelsmith. Expedia is an online travel company, empowering business and leisure travelers with the tools and information they need to efficiently research, plan, book and experience travel. FTD is a premier floral and gifting company that provides floral, gift and related products and services to consumers, retail florists, and other retail locations and companies in need of floral and gifting solutions. Interval Leisure Group is a global provider of membership and leisure services to the vacation industry. LendingTree is the owner of several brands and businesses that provide information, tools, advice, products and services for critical transactions in their customers' lives. Liberty Interactive was founded on September 23, 2011 and is headquartered in Englewood, Co."
Liberty Media,www.libertymedia.com,,(877) 772-1518,Mass media," Movie production
TV production
Broadcasting
Cable television
Sport management","Douglas County, Colorado, United States",,"Liberty Media Corporation owns interests in a broad range of media, communications and entertainment businesses. Those interests are attributed to three tracking stock groups: the Liberty Braves Group, the Liberty Media Group and the Liberty SiriusXM Group."
Libra Group,www.libra.com,,,Conglomerate,,"New York City
London",,
Lidl,www.lidl-info.com,,,Retailing,"Discount store, hypermarket/supercenter/superstore","Neckarsulm, Germany",,
LIG Insurance,www.lig.co.kr,,,Property & Casualty Insurance,,"Seoul,South Korea",,"KB Insurance Co., engages in the sale of general non-life insurance. It operates through the following business areas: Commercial, Long-Term and Automobile. The Commercial business area includes property, marine, accident and casualty insurances. The Long-Term business offers long-term non-life, property damage, injury, driver, savings, illness, nursing and pension insurances. The Automobile business provides insurances for private use, for hire, for business use of cars bicycles and others. The company was founded on January 27, 1959 and is headquartered in Seoul, South Korea."
Lightyear Capital,www.lycap.com,,,Private equity,"Leveraged buyout, Growth capital","New York, New York",,
Ligier,www.ligier.fr,,,Automobile & Formula One,,"Abrest, France",,
LIME,www.lime.com,,,Mobile telecommunications,,,,
Lincoln National,www.lfg.com,,,Life & Health Insurance,,"Radnor, Pennsylvania,United States",,"Lincoln National is a holding company, which operates multiple insurance and retirement businesses through its subsidiary companies. It operates through the following segments: Annuities, Retirement Plan Services, Life Insurance, Group Protection and Other operations. The Annuities segment provides tax-deferred investment growth and lifetime income opportunities for its clients by offering fixed and variable annuities.The Retirement Plan Services segment provides employers with retirement plan products and services, primarily in the defined contribution retirement plan marketplaces. The Life Insurance segment focuses on the creation and protection of wealth for its clients by providing life insurance products, including term insurance, a linked-benefit product and both single and survivorship versions of universal life insurance and variable universal life insurance, including COLI and BOLI products. The Group Protection segment offers group non-medical insurance products, principally term life, disability and dental, to the employer marketplace through various forms of employee-paid and employer-paid plans. The company was founded in 1968 and is headquartered in Radnor, PA."
Linde,www.linde.com,,,Diversified Chemicals,,"Munich,Germany",,"Linde AG is a holding company, which engages in the gas and engineering business. It operates through the following segments: Gases Division, Engineering Division and Gist Division. The Gases Division produces, sells, and distributes gases for applications in industry, medicine, environmental protection, and research and development. The Engineering Division designs and operates turnkey olefin plants; plants for the production of hydrogen and synthesis gases; and air separation and pharmaceutical plants. The Gist Division which offers a range of solutions to transform supply chains. The company was founded by Carl Paul Gottfried von Linde on June 21, 1879 and is headquartered in Munich, Germany."
Lindt & Sprungli,www.lindt.ch,,,Food Processing,,"Kilchberg,Switzerland",,"Chocoladefabriken Lindt & Sprüngli AG is a holding company, which engages in the development, manufacture, and sale of chocolate products. The firm offers products under the Lindt, Ghirardelli, Hofbauer, Küfferle, Caffarel, Russell Stover, and Whitman's. It operates through the Europe, NAFTA, and All Other segments. The Europe segment includes European companies and business units. The NAFTA segment consists of the firms in the United States of America, Canada, and Mexico. The All Other segments comprises of the entities in Australia, Japan, South Africa, Hong Kong, China, and Brazil as well as the business units distributors and duty-free. The company was founded by Rudolf Sprüngli-Ammann and David Sprüngli-Schwarz in 1845 and is headquartered in Kilchberg, Switzerland."
Linear Technology,www.linear.com,,,Semiconductors,,"Milpitas, California,United States",,"Linear Technology engages in the design, manufacture, and marketing of analog integrated circuits. It produces power management, data conversion, signal conditioning, RF and interface ICs, µModule subsystems, and wireless sensor network products. Linear Technology was founded by Robert C. Dobkin and Robert H. Swanson in September 1981 and is headquartered in Milpitas, CA."
Li-Ning,www.lining.com,,,Sportswear and Sports Equipment,"Athletic shoes, apparel, sports equipment, accessories","Beijing, China",,
Link REIT,www.thelinkreit.com,,,Real Estate,,"Hong Kong, China",,"Link Real Estate Investment Trust engages in the investment in real estate and undertaking property development. Its projects include car park, shopping centers, retail facilities, market and cooked food stalls. Its segments includes Retail Properties, Car Parks, and Others. The company was founded on June 5, 2005 and is headquartered in Hong Kong."
LinkedIn,www.linkedin.com,,,Computer Services,,"Mountain View, California,United States",,"LinkedIn operates an online professional network on the Internet. Its proprietary platform enables members to create, manage and share their professional identities online, build and engage with their professional networks, access shared knowledge and insights, and find business opportunities. It product lines include Talent Solutions, Marketing Solutions and Premium Subscriptions these three product lines are sold through two channels, an offline field sales organization which engages with both large and small enterprise customers, as well as an online, selfserve channel. The company was founded by Allen Blue, Reid G. Hoffman, Jean-Luc Vaillant, Konstantin Guericke and Eric Ly in November 2002 and is headquartered in Mountain View, CA."
Lippo Group,www.lippokarawaci.co.id,,,"Conglomerate (Real estate, media, telecommunications, electronics, property, finance, health)","Financial services, Commercial and residential property development","Jakarta, Indonesia",,
Lipton,www.liptontea.com,,,Tea,,,,
LiuGong,www.liugong.com,,,Conglomerate,"Road machinery, Mining equipment, Industrial machinery, Concrete Machinery, Port machinery, Coal mining machinery, Pile driving machinery","Liuzhou, Guangxi, China",,
Liviko,www.liviko.ee/?lang=en,,,distillery,alcohol,Estonia,,
Living Media,www.indiatodaygroup.com,,,Mass media,"Broadcasting, publishing, radio, television, web portals","New Delhi, India",,
Livingston International,www.livingstonintl.com,,,Incorporated customs brokerage and compliance company,"customs brokerage, customs and trade consulting, freight forwarding, business process outsourcing, technology services","Toronto, Ontario, Canada",,
Lixil Group,www.lixil-group.co.jp,,,Construction Materials,,"Tokyo,Japan",,"LIXIL Group manages companies that engages in housing and urban environment-related businesses. It operates through the following segments: Metal Building Material Business; Plumbing Fixtures Business; Other Building Materials and Equipment Business; Distribution and Retail Business; Housing, Real Estate and Other Businesses. The Metal Building Material Business segment provides housing window sashes, building sashes, store facades, sashes for low-to-medium rise buildings, entranceway doors, various types of shutters, curtain walls, gates, carports, banisters, tide barriers, and smoke insulated screens. The Plumbing Fixtures Business segment covers the sanitary ware, bidet-equipped shower toilets, water faucets, washstands, bathtubs, unit bathrooms, kitchen systems, washstand fixtures, and washstand cabinet units. The Other Building Materials and Equipment Business segment offers wooden interior furnishing materials, interior fabrics, external tiles for houses and buildings, internal decorative tiles, siding, stone materials, roofing materials, precut products, and solar power generation systems. The Distribution and Retail Business segment manages home centers and shops that sell tools, hardware, daily necessities, do-it-yourself products, gardening and building materials, and pet supplies. The Housing, Real Estate and Other Businesses segment deals with housing solution, real estate, nursing home, and service businesses. The company was founded in 1923 and is headquartered in Tokyo, Japan."
LKQ,www.lkqcorp.com,,,Auto & Truck Parts,,"Chicago, Illinois,United States",,"LKQ provides replacement parts, components and systems needed to repair cars and trucks. It distributes a variety of products to collision and mechanical repair shops, including aftermarket collision and mechanical products, recycled collision and mechanical products, refurbished collision replacement products such as wheels, bumper covers and lights and remanufactured engines. The company operates through the following segments: North America, Europe and Specialty. It sells refurbished and remanufactured products, including wheels, bumpers, bumper covers, head and tail lamps and engines. The company was founded in February 1998 by Donald F. Flynn and is headquartered in Chicago, IL."
Lloyds Banking Group,www.lloydsbankinggroup.com,,,Financial services,,"London,United Kingdom",,"Lloyds Banking Group Plc is a financial services company, which provides a wide range of banking and financial services. The company operates through the following business segments: Retail, Commercial Banking, Consumer Finance, Insurance & TSB. The Retail segment provides banking, mortgages and other financial services to personal customers in the UK. The Commercial Banking segment provides banking and related services to business clients, from small businesses to large corporate. The Consumer Finance segment group consists of consumer and corporate credit card businesses, along with Black Horse motor financing and Lex Autolease car leasing businesses in asset finance. The TBS segment serves retail and small business customers and also provides retail banking products. The company was founded by George Truett Tate on December 27, 1995 and is headquartered in London, the United Kingdom."
LM Wind Power,www.lmwindpower.com,,,Wind Energy,Wind turbine rotor blades,"Kolding, Denmark",,
Löblich & Co.,www.loeblich.at,,,, gas heating and professional kitchens as well as real estate development,Austria,,
Lockheed Martin,www.lockheedmartin.com,,,Aerospace & Defense,,"Bethesda, Maryland,United States",,"Lockheed Martin operates as a global security and aerospace company, which engages in the research, design, development, manufacture, integration and sustainment of advanced technology systems, products and services. It also provides a broad range of management, engineering, technical, scientific, logistic and information services. It through the following segments: Aeronautics, Information Systems and Global Solutions, Missiles and Fire Control, Mission Systems and Training, and Space Systems. The Aeronautics segment engages in the research, design, development, manufacture, integration, sustainment, support, and upgrade of advanced military aircraft, including combat and air mobility aircraft, unmanned air vehicles and related technologies. The Information Systems and Global Solutions segment comprises of management services, information technology solutions, and advanced technology expertise across a broad spectrum of applications. The Missiles and Fire Control segment offers air and missile defense systems; tactical missiles and air-to-ground precision strike weapon systems; fire control systems; mission operations support, readiness, engineering support and integration services; logistics and other technical services; and manned and unmanned ground vehicles. The Mission Systems and Training segment involves surface ship and submarine combat systems; sea and land-based missile defense systems; radar systems; mission systems and sensors for rotary and fixed-wing aircraft; littoral combat ships; simulation and training services; unmanned technologies and platforms; ship systems integration; and military and commercial training systems. The Space Systems segment involves the design, research and development, engineering, and production of satellites, strategic and defensive missile systems and space transportation systems. The company was founded in March 1995 and is headquartered in Bethesda, MD."
Loews,www.loews.com,,,Diversified Insurance,"insurance, hotels, oil drilling, pipeline transport","New York, New York,United States",,"Loews is a diversified holding company. The company operates through its subsidiary, CNA Financial, which operates in four segments: CNA Specialty, CNA Commercial, CNA International and Other Non-Core. The CNA Specialty segment provides a broad array of professional, financial and specialty property and casualty products and services, primarily through insurance brokers and managing general underwriters. The CNA Commercial segment includes property and casualty coverage sold to small businesses and middle market entities and organizations primarily through an independent agency distribution system. This segment also includes commercial insurance and risk management products sold to large corporations primarily through insurance brokers. The CNA International segment provides management and professional liability coverage as well as a broad range of other property and casualty insurance products and services abroad through a network of brokers, independent agencies and managing general underwriters, as well as the Lloyd's marketplace. The Other Non-Core segment includes the results of CNA's individual and group long term care businesses that are in run-off and also includes corporate expenses, including interest on corporate debt, and the results of certain property and casualty business in run-off, including CNA Re and A&EP. Loews was founded by Laurence A. Tisch and Preston Robert Tisch in 1954 and is headquartered in New York, NY."
Lombard Bank,www.lombardmalta.com,,,Bank,,"Valletta, Malta","67, Republic Street, Valletta, Malta",
London Stock Exchange,www.lseg.com,,,Investment Services,,"London,United Kingdom",,"London Stock Exchange Group Plc engages in the facilitation of international markets exchange platforms. It operates through the following business activities: Capital Formation, Risk and Balance Sheet Management, and Intellectual Property. The Capital Formation business provides access to primary sources of equity and debt finance for companies of all sizes from all over the world as well as secondary markets for price formation and trading.The Risk and Balance Sheet Management business involves post trade services to mitigate counterparty risk, maximize capital efficiencies for customers, support the safe transfer of securities, and optimize cash flows for efficient collateral management. The Intellectual Property business offers market data, indices, analytics and information services to increase knowledge and transparency in support of trading and investment decision making. The company was founded in October 2007 and is headquartered in London, the United Kingdom."
Lone Star Funds,www.lonestarfunds.com,,,Private equity,"Investments, private equity funds","Dallas, United States.",,
Longfor Properties,www.longfor.com,,,Real Estate,,"Beijing,China",,"Longfor Properties Co. is an investment holding company which engages in the real estate development. The company operates through following segment: Property Development, Property Investment and Property Management & Related Services. The Property Development segment develops and sells office premises, commercial and residential properties. The Property Investment segment leases investment properties. More »"
Longman,www.pearsonelt.com,,,,"Reference works, textbooks",England,,
Lonsdale,www.lonsdale.com,,,,,"London, England",,
Look,www.lookcycle.com/ www.lookcycle.com,,,Cycling components,"Clipless pedals
Bicycle frames","Nevers, France",,
Lopez Group of Companies,www.lopez-holdings.ph,,,Various (conglomerate),,"Ortigas Center, Pasig City, Manila, Philippines",,
